Karmn,_RA,_DE,Tpr,s_Tpr,gpr,s_gpr,Teff1,e_Teff1,logg1,e_logg1,[Fe/H]1,e_[Fe/H]1,Corr1,e_Corr1,Teff2,e_Teff2,[Fe/H]2,e_[Fe/H]2,Corr2,e_Corr2,Pop,vsini,e_vsini
"J11055+435 ",166.37871,43.52164,2900,200,5.29,0.2,3278,86,5.25,0.2,-0.52,0.25,-0.36,0.25,3167,56,-0.63,0.21,-0.43,0.21,TD-D,8.2,2.7
J11110+304E,167.77154,30.44603,4100,200,4.6,0.2,4211,13,4.98,0.07,0.04,0.03,0.04,0.03,4195,15,-0.07,0.02,-0.04,0.02,"D   ",2.0,
J11110+304W,167.76058,30.44481,3600,200,4.68,0.2,3730,20,4.78,0.13,-0.09,0.07,-0.05,0.07,3730,22,-0.13,0.04,-0.08,0.04,"D   ",2.0,
"J11126+189 ",168.16237,18.93483,3600,200,4.7,0.2,3752,14,4.88,0.07,-0.02,0.03,0.0,0.03,3759,15,-0.13,0.02,-0.08,0.02,"D   ",2.0,
"J11201-104 ",170.02542,-10.49631,3600,200,4.72,0.2,3697,9,4.66,0.07,-0.39,0.06,-0.26,0.06,3697,9,-0.36,0.04,-0.24,0.04,"YD  ",3.6,1.5
"J11289+101 ",172.23442,10.17758,3300,200,4.96,0.2,3405,33,4.86,0.1,-0.27,0.1,-0.18,0.1,3383,32,-0.32,0.1,-0.21,0.1,"D   ",2.0,
"J11302+076 ",172.5605,7.58842,3400,200,4.76,0.2,3563,25,4.93,0.1,-0.13,0.1,-0.08,0.1,3565,23,-0.19,0.05,-0.12,0.05,"D   ",2.0,
"J11306-080 ",172.67429,-8.09528,3300,200,4.85,0.2,3486,28,4.9,0.08,-0.03,0.05,-0.01,0.05,3469,29,-0.04,0.03,-0.02,0.03,"YD  ",2.0,
"J11417+427 ",175.436,42.75197,3200,200,4.84,0.2,3387,43,4.83,0.1,-0.17,0.1,-0.11,0.1,3380,41,-0.18,0.11,-0.11,0.11,"YD  ",2.0,
"J11421+267 ",175.54621,26.70658,3400,200,4.79,0.2,3533,26,4.83,0.11,-0.19,0.1,-0.12,0.1,3507,22,-0.22,0.08,-0.15,0.08,"D   ",2.0,
"J11467-140 ",176.67879,-14.01439,3400,200,4.69,0.2,3565,20,4.77,0.11,-0.01,0.05,0.0,0.05,3597,16,-0.03,0.03,-0.01,0.03,"D   ",2.0,
"J11474+667 ",176.869,66.73406,3000,200,4.91,0.2,3219,35,4.98,0.18,-0.62,0.19,-0.42,0.19,3211,37,-0.73,0.2,-0.5,0.2,"YD  ",2.7,1.5
"J11476+002 ",176.91979,0.25558,3200,200,4.88,0.2,3282,19,5.16,0.1,-0.51,0.12,-0.35,0.12,3229,13,-0.98,0.02,-0.67,0.02,"YD  ",2.4,1.5
"J11476+786 ",176.92246,78.69117,3300,200,4.99,0.2,3361,45,4.93,0.12,-0.55,0.14,-0.38,0.14,3353,40,-0.53,0.14,-0.36,0.14,"TD  ",2.0,
"J11477+008 ",176.935,0.80456,3100,200,5.08,0.2,3325,43,5.09,0.14,-0.16,0.13,-0.1,0.13,3306,41,-0.19,0.14,-0.12,0.14,"D   ",2.0,
"J11509+483 ",177.7405,48.37739,3100,200,5.11,0.2,3282,38,5.09,0.09,-0.19,0.1,-0.12,0.1,3277,41,-0.25,0.15,-0.17,0.15,"D   ",2.0,
"J11511+352 ",177.78058,35.272,3600,200,4.78,0.2,3692,21,4.91,0.15,-0.38,0.08,-0.25,0.08,3703,18,-0.34,0.05,-0.23,0.05,"D   ",2.0,
"J12054+695 ",181.37367,69.53961,3200,200,4.91,0.2,3339,41,4.91,0.1,-0.1,0.11,-0.06,0.11,3332,34,-0.11,0.09,-0.06,0.09,"YD  ",2.0,
"J12100-150 ",182.52333,-15.07139,3200,200,4.82,0.2,3415,35,4.74,0.11,-0.12,0.1,-0.07,0.1,3391,31,-0.1,0.1,-0.06,0.1,"TD  ",2.0,
"J12111-199 ",182.799,-19.96058,3400,200,4.86,0.2,3517,18,4.92,0.09,-0.19,0.06,-0.12,0.06,3522,16,-0.19,0.05,-0.12,0.05,"YD  ",2.0,
J12123+544S,183.08692,54.48575,3800,200,4.65,0.2,3902,11,4.99,0.12,-0.14,0.07,-0.08,0.07,3889,13,-0.37,0.03,-0.25,0.03,"D   ",2.0,
"J12156+526 ",183.91404,52.65242,3300,200,4.69,0.2,3360,43,4.65,0.17,-0.28,0.14,-0.19,0.14,3384,39,-0.19,0.14,-0.12,0.14,"D   ",35.3,3.5
"J12189+111 ",184.7475,11.12606,2900,200,5.14,0.2,3064,32,5.06,0.17,-0.4,0.22,-0.27,0.22,3079,28,-0.4,0.19,-0.27,0.19,"YD  ",15.5,1.6
"J12230+640 ",185.75067,64.03083,3500,200,4.74,0.2,3563,28,4.8,0.13,-0.24,0.1,-0.16,0.1,3562,28,-0.27,0.07,-0.18,0.07,"D   ",2.0,
"J12248-182 ",186.21875,-18.24228,3500,200,5.0,0.2,3432,30,5.09,0.1,-0.88,0.09,-0.6,0.09,3414,17,-0.93,0.05,-0.63,0.05,"TD  ",2.0,
"J12312+086 ",187.81583,8.81061,3900,200,4.71,0.2,3896,11,5.07,0.11,-0.15,0.05,-0.09,0.05,3898,14,-0.35,0.03,-0.23,0.03,"D   ",2.0,
"J12350+098 ",188.75296,9.8285,3500,200,4.74,0.2,3556,16,4.82,0.07,-0.28,0.07,-0.19,0.07,3536,18,-0.31,0.05,-0.21,0.05,"D   ",2.0,
"J12373-208 ",189.33987,-20.87653,3200,200,4.77,0.2,3431,36,4.7,0.1,-0.06,0.07,-0.03,0.07,3434,34,0.03,0.05,0.03,0.05,"D   ",2.0,
"J12388+116 ",189.7185,11.69614,3300,200,4.73,0.2,3525,26,4.85,0.09,-0.01,0.06,0.0,0.06,3521,21,-0.06,0.04,-0.03,0.04,"D   ",2.0,
"J12428+418 ",190.70783,41.89642,3200,200,4.82,0.2,3328,25,5.05,0.14,-0.14,0.09,-0.08,0.09,3250,14,-0.07,0.07,-0.04,0.07,"YD  ",2.0,
