Karmn,_RA,_DE,Tpr,s_Tpr,gpr,s_gpr,Teff1,e_Teff1,logg1,e_logg1,[Fe/H]1,e_[Fe/H]1,Corr1,e_Corr1,Teff2,e_Teff2,[Fe/H]2,e_[Fe/H]2,Corr2,e_Corr2,Pop,vsini,e_vsini
"J18075-159 ",271.88683,-15.96308,3000,200,5.1,0.2,3220,22,5.23,0.11,-0.54,0.13,-0.37,0.13,3192,19,-0.78,0.06,-0.54,0.06,"D   ",2.2,1.5
"J18131+260 ",273.27737,26.03108,3200,200,4.89,0.2,3271,63,4.83,0.16,-0.52,0.13,-0.36,0.13,3268,53,-0.54,0.13,-0.37,0.13,"D   ",5.9,1.5
"J18165+048 ",274.13142,4.87939,3000,200,5.07,0.2,3240,36,4.97,0.13,-0.26,0.14,-0.18,0.14,3258,38,-0.22,0.22,-0.15,0.22,"D   ",2.0,
"J18174+483 ",274.35471,48.36731,3500,200,4.68,0.2,3605,29,4.87,0.17,-0.47,0.11,-0.32,0.11,3633,41,-0.46,0.12,-0.31,0.12,"YD  ",2.0,
J18180+387E,274.51762,38.77572,3200,200,4.87,0.2,3495,20,5.01,0.1,-0.21,0.07,-0.14,0.07,3430,47,-0.62,0.19,-0.42,0.19,"D   ",2.0,
"J18189+661 ",274.73846,66.19258,3100,200,5.17,0.2,3172,45,4.97,0.15,-0.68,0.16,-0.46,0.16,3146,44,-0.66,0.19,-0.45,0.19,"D   ",15.3,1.5
"J18198-019 ",274.96183,-1.93861,4000,200,4.64,0.2,4155,14,5.01,0.06,-0.21,0.04,-0.14,0.04,4215,5,-0.33,0.03,-0.22,0.03,"YD  ",3.0,
"J18221+063 ",275.52783,6.34378,3400,200,4.96,0.2,3397,28,4.89,0.09,-0.5,0.11,-0.35,0.11,3388,25,-0.53,0.09,-0.36,0.09,"TD  ",2.0,
"J18224+620 ",275.61308,62.05056,3100,200,5.13,0.2,3294,43,5.12,0.15,-0.1,0.11,-0.06,0.11,3278,37,-0.26,0.18,-0.18,0.18,"D   ",2.0,
"J18319+406 ",277.99325,40.68639,3300,200,4.85,0.2,3492,25,4.92,0.09,-0.07,0.06,-0.04,0.06,3489,24,-0.07,0.04,-0.04,0.04,"YD  ",2.0,
"J18346+401 ",278.65271,40.124,3200,200,4.76,0.2,3447,46,4.69,0.11,-0.06,0.09,-0.03,0.09,3458,47,0.02,0.06,0.02,0.06,"D   ",2.0,
"J18353+457 ",278.82662,45.74403,3800,200,4.66,0.2,3876,11,4.82,0.09,-0.08,0.08,-0.04,0.08,3864,8,-0.28,0.02,-0.19,0.02,"D   ",2.0,
"J18356+329 ",278.90783,32.99814,2400,200,5.36,0.2,,,,,,,,,,,,,,,"D   ",49.2,4.9
"J18363+136 ",279.08012,13.60733,3200,200,4.94,0.2,3335,28,5.18,0.12,-0.15,0.08,-0.09,0.08,3398,37,-0.04,0.03,-0.02,0.03,"YD  ",2.0,
"J18409-133 ",280.23879,-13.37961,3700,200,4.7,0.2,3799,12,4.88,0.08,-0.04,0.05,-0.02,0.05,3801,12,-0.14,0.04,-0.08,0.04,"D   ",2.0,
"J18419+318 ",280.496,31.8305,3300,200,4.84,0.2,3519,20,4.93,0.1,-0.3,0.08,-0.2,0.08,3521,16,-0.23,0.06,-0.15,0.06,"D   ",2.0,
J18427+596N,280.69458,59.63039,3300,200,4.84,0.2,3473,34,4.9,0.11,-0.46,0.12,-0.31,0.12,3466,31,-0.44,0.13,-0.3,0.13,"D   ",2.0,
J18427+596S,280.69537,59.62686,3300,200,4.9,0.2,3393,48,4.98,0.12,-0.56,0.18,-0.38,0.18,3440,49,-0.39,0.2,-0.26,0.2,"D   ",2.0,
"J18480-145 ",282.00529,-14.58089,3400,200,4.83,0.2,3540,29,4.92,0.11,-0.2,0.06,-0.13,0.06,3544,15,-0.23,0.05,-0.15,0.05,"D   ",2.0,
"J18482+076 ",282.07308,7.68922,2900,200,5.14,0.2,3175,39,5.1,0.16,-0.19,0.13,-0.12,0.13,3169,32,-0.14,0.14,-0.08,0.14,"YD  ",2.4,1.5
"J18498-238 ",282.45567,-23.83625,3200,200,5.1,0.2,3340,30,5.23,0.11,-0.63,0.1,-0.43,0.1,3268,17,-0.97,0.03,-0.66,0.03,"D   ",3.0,1.5
"J18580+059 ",284.50058,5.90811,3800,200,4.68,0.2,3857,10,4.73,0.09,-0.22,0.05,-0.15,0.05,3858,7,-0.24,0.02,-0.16,0.02,"D   ",2.0,
"J19070+208 ",286.77321,20.88803,3600,200,4.94,0.2,3543,21,5.03,0.12,-0.68,0.07,-0.46,0.07,3538,20,-0.75,0.06,-0.52,0.06,"D   ",2.0,
"J19072+208 ",286.805,20.87703,3600,200,4.94,0.2,3558,19,5.06,0.1,-0.67,0.06,-0.46,0.06,3548,19,-0.75,0.05,-0.52,0.05,"D   ",2.0,
"J19084+322 ",287.12471,32.281,3300,200,4.85,0.2,3501,25,4.92,0.09,-0.13,0.07,-0.08,0.07,3503,21,-0.17,0.06,-0.11,0.06,"YD  ",2.0,
"J19098+176 ",287.46196,17.66844,3100,200,5.07,0.2,3277,34,4.93,0.13,-0.21,0.16,-0.14,0.16,3281,53,-0.18,0.19,-0.11,0.19,"D   ",2.0,
J19169+051N,289.23025,5.16889,3400,200,4.72,0.2,3575,25,4.88,0.12,-0.14,0.08,-0.08,0.08,3597,28,-0.22,0.06,-0.15,0.06,"D   ",2.0,
J19169+051S,289.24004,5.15044,2500,200,5.29,0.2,,,,,,,,,,,,,,,"D   ",2.7,2.2
J19206+731S,259.01733,72.16117,3200,200,4.94,0.2,3448,77,4.82,0.16,-0.11,0.12,-0.06,0.12,3447,98,-0.06,0.14,-0.03,0.14,"D   ",2.0,
"J19216+208 ",290.41125,20.86758,3100,200,5.05,0.2,3278,35,5.05,0.12,-0.25,0.13,-0.17,0.13,3279,35,-0.26,0.12,-0.18,0.12,"D   ",2.0,
"J19251+283 ",291.28533,28.35383,3300,200,4.84,0.2,3472,29,4.9,0.08,-0.09,0.07,-0.05,0.07,3476,26,-0.1,0.05,-0.06,0.05,"D   ",2.0,
"J19255+096 ",291.37879,9.63981,2400,200,5.12,0.2,,,,,,,,,,,,,,,"YD  ",34.7,3.5
"J19346+045 ",293.666,4.5825,4000,200,4.68,0.2,4093,24,4.92,0.07,-0.34,0.05,-0.22,0.05,4165,13,-0.47,0.04,-0.32,0.04,"D   ",3.9,1.5
"J19422-207 ",295.55342,-20.76333,3100,200,5.04,0.2,3241,54,4.81,0.15,-0.71,0.1,-0.49,0.1,3341,41,-0.77,0.09,-0.53,0.09,"YD  ",6.2,1.5
"J19511+464 ",297.78883,46.48339,3200,200,4.98,0.2,3177,39,5.0,0.15,0.16,0.19,0.16,0.19,3213,34,0.1,0.14,0.1,0.14,"YD  ",22.5,2.3
"J20093-012 ",302.32604,-1.22731,3000,200,5.12,0.2,3301,90,4.96,0.17,-0.74,0.15,-0.51,0.15,3388,79,-0.8,0.13,-0.55,0.13,"D   ",4.3,1.5
"J20260+585 ",306.52208,58.57297,3000,200,5.11,0.2,3223,49,4.97,0.15,-0.23,0.24,-0.15,0.24,3216,47,-0.16,0.23,-0.1,0.23,"D   ",2.0,
"J20305+654 ",307.63354,65.44956,3400,200,4.83,0.2,3514,23,5.06,0.11,-0.06,0.06,-0.03,0.06,3525,13,-0.15,0.04,-0.09,0.04,"D   ",2.0,
"J20336+617 ",308.418,61.75378,3200,200,4.8,0.2,3406,32,4.76,0.14,-0.16,0.12,-0.1,0.12,3401,32,-0.05,0.09,-0.02,0.09,"D   ",2.0,
"J20405+154 ",310.14108,15.49964,3100,200,5.07,0.2,3263,36,5.02,0.12,-0.16,0.11,-0.1,0.11,3281,37,-0.18,0.15,-0.11,0.15,"D   ",2.0,
"J20450+444 ",311.26708,44.49906,3600,200,4.83,0.2,3600,16,4.98,0.12,-0.42,0.07,-0.28,0.07,3603,18,-0.48,0.06,-0.33,0.06,"YD  ",2.0,
"J20451-313 ",311.28971,-31.34089,3600,200,4.54,0.2,3768,20,4.65,0.18,0.01,0.06,0.01,0.06,3799,13,-0.17,0.03,-0.11,0.03,"YD  ",7.5,1.5
"J20525-169 ",313.13758,-16.97472,3100,200,4.97,0.2,3382,40,5.01,0.12,-0.07,0.09,-0.04,0.09,3374,41,-0.07,0.08,-0.04,0.08,"D   ",2.0,
"J20533+621 ",313.33246,62.15439,3700,200,4.7,0.2,3815,16,4.83,0.14,-0.16,0.08,-0.1,0.08,3814,15,-0.24,0.04,-0.16,0.04,"D   ",2.0,
J20556-140S,313.90467,-14.06525,3100,200,5.16,0.2,3193,23,4.98,0.1,-0.53,0.11,-0.36,0.11,3205,21,-0.45,0.08,-0.31,0.08,"TD  ",2.0,
"J20567-104 ",314.19417,-10.44853,3300,200,4.7,0.2,3560,27,4.91,0.09,-0.07,0.06,-0.04,0.06,3547,16,-0.21,0.04,-0.14,0.04,"TD  ",2.0,
"J21019-063 ",315.49433,-6.31875,3400,200,4.74,0.2,3568,20,4.95,0.1,-0.07,0.06,-0.04,0.06,3554,18,-0.21,0.04,-0.14,0.04,"D   ",2.0,
"J21152+257 ",318.8025,25.79597,3400,200,4.65,0.2,3611,25,4.67,0.16,0.05,0.05,0.05,0.05,3682,18,0.08,0.03,0.08,0.03,"D   ",2.0,
"J21164+025 ",319.11367,2.58094,3400,200,4.79,0.2,3550,23,4.88,0.11,-0.13,0.09,-0.08,0.09,3533,21,-0.17,0.06,-0.11,0.06,"YD  ",2.0,
"J21221+229 ",320.52617,22.93142,3700,200,4.75,0.2,3761,17,5.0,0.1,-0.27,0.05,-0.18,0.08,3776,14,-0.36,0.05,-0.24,0.05,"D   ",2.0,
"J21348+515 ",323.70975,51.53711,3400,200,4.76,0.2,3525,23,4.87,0.1,-0.15,0.08,-0.09,0.08,3528,19,-0.22,0.05,-0.15,0.05,"YD  ",2.0,
"J21463+382 ",326.59196,38.21806,3300,200,5.1,0.2,3247,21,4.84,0.11,-0.86,0.09,-0.59,0.09,3265,27,-0.69,0.1,-0.47,0.1,"TD  ",2.0,
"J21466+668 ",326.66767,66.80294,3200,200,4.91,0.2,3409,38,4.85,0.11,-0.15,0.11,-0.09,0.11,3396,38,-0.2,0.13,-0.13,0.13,"YD  ",2.0,
"J21466-001 ",326.66842,-0.17328,3200,200,4.94,0.2,3408,29,4.82,0.09,-0.21,0.08,-0.14,0.08,3381,28,-0.2,0.1,-0.13,0.1,"D   ",2.0,
"J21474+627 ",326.85329,62.75386,3900,200,4.67,0.2,4029,13,4.98,0.04,-0.03,0.03,-0.01,0.03,4001,6,-0.25,0.02,-0.17,0.02,"D   ",2.0,
"J22012+283 ",330.30467,28.30692,3200,200,4.92,0.2,3195,29,5.0,0.16,0.03,0.11,0.03,0.11,3195,29,0.0,0.1,0.0,0.1,"YD  ",35.4,3.5
"J22020-194 ",330.50317,-19.48308,3300,200,4.88,0.2,3474,23,4.85,0.07,-0.17,0.07,-0.11,0.07,3471,24,-0.15,0.08,-0.09,0.08,"D   ",2.0,
"J22021+014 ",330.54283,1.40022,3800,200,4.68,0.2,3882,12,4.97,0.07,-0.02,0.04,0.0,0.04,3869,10,-0.29,0.03,-0.2,0.03,"D   ",2.0,
"J22057+656 ",331.439,65.64875,3700,200,4.77,0.2,3707,17,4.86,0.11,-0.3,0.06,-0.2,0.06,3715,19,-0.32,0.04,-0.21,0.04,"D   ",2.0,
"J22096-046 ",332.41808,-4.64075,3400,200,4.75,0.2,3540,31,4.81,0.11,-0.02,0.07,0.0,0.07,3531,32,-0.04,0.05,-0.02,0.05,"YD  ",2.0,
"J22114+409 ",332.85067,40.99964,3000,200,5.14,0.2,3132,30,5.15,0.16,-0.07,0.12,-0.04,0.12,3145,27,-0.12,0.14,-0.07,0.14,"YD  ",2.0,
"J22115+184 ",332.87537,18.42619,3500,200,4.69,0.2,3704,20,4.77,0.12,-0.01,0.06,0.0,0.06,3696,20,-0.05,0.03,-0.02,0.03,"D   ",2.0,
"J22125+085 ",333.14975,8.55322,3400,200,4.84,0.2,3528,25,4.9,0.13,-0.3,0.09,-0.2,0.09,3534,23,-0.26,0.07,-0.18,0.07,"D   ",2.0,
"J22137-176 ",333.42858,-17.68575,3100,200,5.09,0.2,3256,41,5.0,0.1,-0.41,0.16,-0.28,0.16,3262,41,-0.4,0.14,-0.27,0.14,"D   ",2.0,
"J22231-176 ",335.77917,-17.60731,3000,200,5.08,0.2,3228,19,5.26,0.13,-0.19,0.1,-0.12,0.14,3231,19,-0.15,0.1,-0.09,0.1,"D   ",2.0,
"J22252+594 ",336.32112,59.41383,3200,200,4.77,0.2,3448,40,4.76,0.1,-0.06,0.08,-0.03,0.08,3446,41,-0.04,0.06,-0.02,0.06,"D   ",2.0,
"J22298+414 ",337.45412,41.48017,3200,200,4.98,0.2,3332,32,4.88,0.07,-0.26,0.1,-0.18,0.1,3314,25,-0.3,0.11,-0.2,0.11,"D   ",2.0,
"J22330+093 ",338.25929,9.37797,3700,200,4.78,0.2,3722,16,4.98,0.11,-0.3,0.05,-0.2,0.05,3721,14,-0.41,0.04,-0.28,0.04,"YD  ",2.0,
"J22468+443 ",341.70721,44.334,3200,200,4.87,0.2,3306,30,5.06,0.13,-0.89,0.09,-0.6,0.09,3342,49,-0.81,0.19,-0.55,0.19,"D   ",3.5,1.5
"J22503-070 ",342.58092,-7.09011,3800,200,4.7,0.2,3900,10,5.01,0.09,-0.13,0.04,-0.08,0.04,3904,11,-0.34,0.02,-0.23,0.02,"D   ",2.0,
"J22518+317 ",342.97308,31.75422,3300,200,4.74,0.2,3335,44,4.68,0.14,-0.45,0.18,-0.31,0.18,3407,20,-0.34,0.13,-0.23,0.13,"YD  ",13.4,1.5
"J22532-142 ",343.31971,-14.26369,3200,200,4.87,0.2,3421,40,4.83,0.1,-0.11,0.1,-0.06,0.1,3409,40,-0.17,0.12,-0.11,0.12,"YD  ",2.0,
"J22559+178 ",343.99937,17.81106,3700,200,4.69,0.2,3814,12,4.9,0.08,0.02,0.03,0.02,0.03,3813,9,-0.18,0.03,-0.11,0.03,"D   ",2.0,
"J22565+165 ",344.145,16.55344,3600,200,4.68,0.2,3798,21,4.8,0.12,0.03,0.06,0.03,0.06,3799,19,-0.07,0.04,-0.04,0.04,"D   ",2.0,
"J23064-050 ",346.62237,-5.04139,2500,200,5.29,0.2,,,,,,,,,,,,,,,"D   ",2.0,
"J23113+085 ",347.84908,8.51706,3300,200,4.9,0.2,3477,38,4.81,0.1,-0.12,0.09,-0.07,0.09,3472,42,-0.09,0.1,-0.05,0.1,"D   ",2.0,
"J23216+172 ",350.40604,17.29039,3200,200,4.81,0.2,3398,47,4.81,0.11,-0.03,0.1,-0.01,0.1,3399,39,-0.03,0.08,-0.01,0.08,"D   ",2.0,
"J23245+578 ",351.12712,57.85431,3600,200,4.66,0.2,3811,13,4.72,0.1,-0.03,0.06,-0.01,0.06,3810,12,-0.13,0.04,-0.08,0.04,"D   ",2.0,
"J23340+001 ",353.51387,0.17942,3400,200,4.77,0.2,3530,21,4.91,0.09,-0.38,0.08,-0.25,0.08,3548,15,-0.3,0.04,-0.2,0.04,"D   ",2.0,
"J23351-023 ",353.79358,-2.38906,3000,200,5.25,0.2,3136,38,5.27,0.17,-0.2,0.17,-0.13,0.17,3149,40,-0.22,0.18,-0.15,0.18,"D   ",2.0,
"J23381-162 ",354.534,-16.23617,3500,200,4.85,0.2,3570,22,5.07,0.12,-0.51,0.08,-0.35,0.08,3557,21,-0.63,0.06,-0.43,0.06,"D   ",2.0,
"J23419+441 ",355.47933,44.17744,3000,200,5.16,0.2,3186,41,5.15,0.18,0.04,0.17,0.04,0.17,3175,36,0.01,0.16,0.01,0.16,TD-D,2.0,
"J23431+365 ",355.77629,36.53697,3100,200,5.01,0.2,3301,30,5.18,0.12,-0.16,0.1,-0.1,0.1,3295,26,-0.06,0.06,-0.03,0.06,"YD  ",2.0,
"J23492+024 ",357.30221,2.40122,3700,200,4.84,0.2,3573,23,4.94,0.13,-0.8,0.08,-0.55,0.08,3562,21,-0.85,0.06,-0.58,0.06,"TD  ",2.0,
"J23505-095 ",357.63183,-9.55908,3100,200,4.88,0.2,3377,34,4.83,0.1,-0.14,0.1,-0.08,0.1,3366,37,-0.1,0.09,-0.06,0.09,"D   ",2.0,
"J23548+385 ",358.71442,38.52672,3200,200,4.91,0.2,3263,16,5.13,0.1,-0.81,0.09,-0.55,0.09,3265,19,-0.91,0.07,-0.62,0.07,"D   ",3.6,1.5
"J23556-061 ",358.91575,-6.14261,3400,200,4.8,0.2,3639,30,4.84,0.14,-0.04,0.08,-0.02,0.08,3643,23,-0.04,0.05,-0.02,0.05,"D   ",2.0,
"J23585+076 ",359.63608,7.65836,3300,200,4.84,0.2,3496,20,4.97,0.08,-0.1,0.06,-0.06,0.06,3496,19,-0.16,0.04,-0.1,0.04,"D   ",2.0,
