Karmn,_RA,_DE,Teff,e_Teff,[Fe/H],e_[Fe/H]
"J12248-182 ",186.21875,-18.24228,3499,60,-0.3,0.11
"J12312+086 ",187.81583,8.81061,3909,93,,
"J12350+098 ",188.75296,9.8285,3643,89,,
"J12373-208 ",189.33987,-20.87653,3285,62,0.5,0.12
"J12388+116 ",189.7185,11.69614,3503,88,,
"J12428+418 ",190.70783,41.89642,3418,96,,
"J12479+097 ",191.98592,9.75139,3270,74,,
"J13005+056 ",195.13967,5.68556,3090,77,0.28,0.11
"J13196+333 ",199.91721,33.34653,3658,62,,
"J13209+342 ",200.24187,34.27894,3779,79,-0.2,0.12
"J13229+244 ",200.73646,24.46767,3259,94,-0.13,0.12
J13283-023W,202.08783,-2.36031,3577,73,0.17,0.12
"J13293+114 ",202.33879,11.44075,3342,97,,
"J13299+102 ",202.49912,10.37717,3727,69,0.19,0.11
"J13427+332 ",205.68029,33.29008,3157,63,,
"J13450+176 ",206.27117,17.78544,3900,69,-0.59,0.11
"J13457+148 ",206.43242,14.89153,3703,73,-0.45,0.11
"J13458-179 ",206.46129,-17.96822,3274,62,0.09,0.12
"J13536+776 ",208.41167,77.61894,3264,74,,
"J13582+125 ",209.558,12.57886,3377,68,-0.13,0.11
"J13591-198 ",209.79337,-19.83436,3152,79,0.11,0.11
"J14010-026 ",210.26329,-2.65486,3770,80,-0.16,0.11
"J14082+805 ",212.05408,80.59728,3857,67,,
"J14152+450 ",213.82075,45.01481,3463,69,0.18,0.11
"J14251+518 ",216.29825,51.83142,3548,68,-0.15,0.11
J14257+236E,216.44437,23.62047,4305,82,0.17,0.12
J14257+236W,216.43112,23.61708,3919,72,0.11,0.11
"J14294+155 ",217.37375,15.53264,3575,60,,
"J14307-086 ",217.69883,-8.64633,3943,94,0.03,0.11
"J14310-122 ",217.75483,-12.29608,3231,61,0.26,0.12
"J14342-125 ",218.57004,-12.51956,3211,68,0.38,0.11
"J14524+123 ",223.11887,12.39244,3529,64,,
"J14544+355 ",223.61629,35.54917,3403,68,0.11,0.11
"J15013+055 ",225.33379,5.54875,3452,61,-0.09,0.12
"J15095+031 ",227.39829,3.16683,3491,87,,
"J15194-077 ",229.86179,-7.72228,3413,61,-0.21,0.11
"J15218+209 ",230.47054,20.97775,3638,73,,
"J15369-141 ",234.24425,-14.13383,3263,84,0.12,0.11
"J15474-108 ",236.85229,-10.89647,3451,60,0.02,0.12
"J15583+354 ",239.57833,35.40675,3462,78,,
"J15598-082 ",239.97242,-8.25319,3739,85,-0.04,0.11
"J16028+205 ",240.71225,20.58917,3105,63,0.03,0.11
"J16092+093 ",242.31779,9.35208,3482,69,,
J16167+672N,244.18879,67.25625,3537,83,,
J16167+672S,244.17812,67.23883,3893,97,,
"J16254+543 ",246.35258,54.30411,3490,62,,
"J16303-126 ",247.57525,-12.66258,3210,72,0.06,0.11
"J16327+126 ",248.18829,12.61278,3573,90,,
"J16462+164 ",251.55725,16.478,3499,64,,
J16554-083N,253.85508,-8.32258,3279,64,-0.14,0.11
"J16570-043 ",254.27392,-4.34897,3206,75,-0.21,0.12
"J16581+257 ",254.53687,25.74417,3744,65,-0.08,0.11
"J17033+514 ",255.8495,51.40636,3051,64,,
"J17052-050 ",256.30742,-5.09422,3658,67,-0.39,0.11
"J17071+215 ",256.78121,21.55403,3373,66,,
"J17115+384 ",257.89479,38.44275,3271,74,,
"J17166+080 ",259.17075,8.05839,3546,62,,
"J17198+417 ",259.96962,41.71381,3415,66,,
"J17303+055 ",262.59471,5.54853,3770,81,,
"J17338+169 ",263.4715,16.92022,3000,60,,
"J17364+683 ",264.10792,68.33914,3400,72,0.03,0.11
"J17378+185 ",264.47229,18.59172,3657,72,,
"J17542+073 ",268.57133,7.37911,3162,75,0.17,0.12
"J17578+046 ",269.45208,4.69336,3237,60,-0.32,0.11
"J17578+465 ",269.46237,46.58864,3475,62,,
"J18022+642 ",270.56917,64.26228,3097,64,,
"J18051-030 ",271.28158,-3.03133,3733,68,-0.25,0.11
"J18075-159 ",271.88683,-15.96308,3104,63,0.05,0.12
"J18131+260 ",273.27737,26.03108,3087,65,,
"J18174+483 ",274.35471,48.36731,3551,41,,
J18180+387E,274.51762,38.77572,3385,62,,
"J18189+661 ",274.73846,66.19258,3165,60,,
"J18221+063 ",275.52783,6.34378,3281,101,,0.12
"J18224+620 ",275.61308,62.05056,3134,60,,
"J18319+406 ",277.99325,40.68639,3499,77,,
"J18346+401 ",278.65271,40.124,3342,62,,
"J18353+457 ",278.82662,45.74403,4013,78,,
"J18363+136 ",279.08012,13.60733,3207,60,,
"J18409-133 ",280.23879,-13.37961,3726,62,0.21,0.12
"J18419+318 ",280.496,31.8305,3376,73,,
J18427+596N,280.69458,59.63039,3392,64,-0.13,0.11
J18427+596S,280.69537,59.62686,3334,66,-0.18,0.11
"J18480-145 ",282.00529,-14.58089,3514,74,-0.2,0.11
"J18482+076 ",282.07308,7.68922,2967,60,,
"J18498-238 ",282.45567,-23.83625,3213,60,-0.14,0.11
"J18580+059 ",284.50058,5.90811,3832,74,,
"J19070+208 ",286.77321,20.88803,3514,61,,
"J19072+208 ",286.805,20.87703,3543,64,,
"J19084+322 ",287.12471,32.281,3529,72,,
"J19098+176 ",287.46196,17.66844,3054,64,-0.03,0.12
J19169+051N,289.23025,5.16889,3557,62,0.1,0.11
"J19216+208 ",290.41125,20.86758,3099,71,0.1,0.11
"J19251+283 ",291.28533,28.35383,3448,92,,
"J19346+045 ",293.666,4.5825,4170,111,,
"J19511+464 ",297.78883,46.48339,3251,60,,
"J20305+654 ",307.63354,65.44956,3473,67,,
"J20336+617 ",308.418,61.75378,3226,68,,
"J20405+154 ",310.14108,15.49964,3094,64,0.31,0.12
"J20450+444 ",311.26708,44.49906,3607,71,,
"J20451-313 ",311.28971,-31.34089,3742,83,-0.12,0.11
"J20525-169 ",313.13758,-16.97472,3181,88,0.13,0.11
"J20533+621 ",313.33246,62.15439,3843,68,-0.1,0.11
"J20567-104 ",314.19417,-10.44853,3646,75,0.06,0.12
"J21019-063 ",315.49433,-6.31875,3582,79,0.03,0.11
"J21152+257 ",318.8025,25.79597,3597,68,,
"J21164+025 ",319.11367,2.58094,3498,67,,
"J21221+229 ",320.52617,22.93142,3866,74,,
"J21348+515 ",323.70975,51.53711,3570,89,,
"J21463+382 ",326.59196,38.21806,3182,61,,
"J21466+668 ",326.66767,66.80294,3260,60,,
"J21466-001 ",326.66842,-0.17328,3252,83,0.22,0.12
"J21474+627 ",326.85329,62.75386,4177,91,,
"J22012+283 ",330.30467,28.30692,3206,66,,
"J22020-194 ",330.50317,-19.48308,3306,67,-0.16,0.12
"J22021+014 ",330.54283,1.40022,3882,97,,
"J22057+656 ",331.439,65.64875,3745,61,,
"J22096-046 ",332.41808,-4.64075,3551,75,0.25,0.11
"J22115+184 ",332.87537,18.42619,3601,69,,
"J22125+085 ",333.14975,8.55322,3543,82,,0.12
"J22137-176 ",333.42858,-17.68575,3023,62,-0.15,0.12
"J22231-176 ",335.77917,-17.60731,3162,64,0.31,0.12
"J22252+594 ",336.32112,59.41383,3440,74,,
"J22298+414 ",337.45412,41.48017,3133,69,,
"J22330+093 ",338.25929,9.37797,3715,97,-0.28,0.11
"J22468+443 ",341.70721,44.334,3262,64,,
"J22503-070 ",342.58092,-7.09011,3773,73,-0.2,0.11
"J22518+317 ",342.97308,31.75422,3464,67,,
"J22532-142 ",343.31971,-14.26369,3321,70,0.2,0.11
"J22559+178 ",343.99937,17.81106,3844,109,-0.07,0.12
"J22565+165 ",344.145,16.55344,3673,60,0.18,0.11
"J23113+085 ",347.84908,8.51706,3274,93,,
"J23216+172 ",350.40604,17.29039,3241,79,,
"J23245+578 ",351.12712,57.85431,3764,77,,
"J23340+001 ",353.51387,0.17942,3511,97,-0.02,0.12
"J23381-162 ",354.534,-16.23617,3538,78,,
"J23419+441 ",355.47933,44.17744,3005,62,,
"J23431+365 ",355.77629,36.53697,3155,62,0.18,0.12
"J23492+024 ",357.30221,2.40122,3712,85,,
"J23505-095 ",357.63183,-9.55908,3221,73,0.2,0.12
"J23548+385 ",358.71442,38.52672,3395,68,,
"J23556-061 ",358.91575,-6.14261,3701,86,0.12,0.12
"J23585+076 ",359.63608,7.65836,3581,89,0.05,0.13
