Karmn,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H]
"J12479+097 ",3384,51,5.0,0.07,0.06,0.16
"J13196+333 ",3801,51,4.67,0.07,0.18,0.16
"J13209+342 ",3732,51,4.76,0.07,-0.01,0.16
"J13229+244 ",3318,51,5.05,0.07,0.02,0.16
"J13293+114 ",3431,51,4.96,0.07,0.04,0.16
"J13299+102 ",3704,51,4.82,0.07,-0.15,0.16
"J13343+046 ",4131,51,4.6,0.07,0.24,0.16
"J13427+332 ",3359,51,5.03,0.07,-0.01,0.16
"J13450+176 ",3806,51,4.85,0.07,-0.42,0.16
"J13457+148 ",3677,51,4.79,0.07,-0.04,0.16
"J13458-179 ",3399,51,4.99,0.07,0.04,0.16
"J13526+144 ",3670,51,4.74,0.07,0.13,0.16
"J14010-026 ",3719,51,4.77,0.07,-0.03,0.16
"J14082+805 ",3835,51,4.67,0.07,0.17,0.16
"J14152+450 ",3456,51,4.94,0.07,0.0,0.16
"J14251+518 ",3512,51,4.92,0.07,-0.08,0.16
J14257+236E,3943,51,4.65,0.07,0.16,0.16
J14257+236W,4021,51,4.63,0.07,0.18,0.16
"J14283+053 ",3455,51,4.96,0.07,-0.03,0.16
"J14294+155 ",3633,51,4.81,0.07,0.0,0.16
"J14307-086 ",4084,51,4.63,0.07,0.13,0.16
"J14342-125 ",3325,51,5.02,0.07,0.11,0.16
"J14524+123 ",3560,51,4.88,0.07,-0.05,0.16
"J14544+355 ",3375,51,5.0,0.07,0.03,0.16
"J15013+055 ",3413,51,5.0,0.07,-0.04,0.16
"J15095+031 ",3480,51,4.93,0.07,-0.01,0.16
"J15194-077 ",3430,51,5.0,0.07,-0.09,0.16
"J15412+759 ",3430,51,5.02,0.07,-0.18,0.16
"J15474-108 ",3515,51,4.96,0.07,-0.21,0.16
"J15598-082 ",3644,51,4.86,0.07,-0.15,0.16
"J16028+205 ",3310,51,5.05,0.07,0.02,0.16
"J16092+093 ",3455,51,4.98,0.07,-0.09,0.16
"J16120+033 ",3592,51,4.91,0.07,-0.18,0.16
J16167+672N,3504,51,4.91,0.07,0.0,0.16
J16167+672S,4091,51,4.62,0.07,0.16,0.16
"J16254+543 ",3516,51,4.98,0.07,-0.27,0.16
"J16303-126 ",3378,51,5.01,0.07,0.01,0.16
"J16327+126 ",3486,51,4.92,0.07,0.0,0.16
"J16462+164 ",3505,51,4.92,0.07,-0.05,0.16
"J16487-157 ",3805,51,4.68,0.07,0.16,0.16
J16554-083N,3343,51,5.05,0.07,-0.04,0.16
"J16578+473 ",4300,51,4.68,0.07,-0.43,0.16
"J16581+257 ",3734,51,4.78,0.07,-0.08,0.16
"J16591+209 ",3364,51,5.06,0.07,-0.15,0.16
"J17033+514 ",3237,51,5.08,0.07,0.06,0.16
"J17052-050 ",3631,51,4.82,0.07,-0.01,0.16
"J17071+215 ",3482,51,4.94,0.07,-0.05,0.16
"J17115+384 ",3415,51,4.99,0.07,-0.01,0.16
"J17160+110 ",3801,51,4.69,0.07,0.13,0.16
"J17166+080 ",3544,51,4.91,0.07,-0.1,0.16
"J17198+417 ",3499,51,4.93,0.07,-0.08,0.16
"J17303+055 ",3804,51,4.77,0.07,-0.14,0.16
"J17355+616 ",3874,51,4.69,0.07,0.06,0.16
"J17378+185 ",3654,51,4.88,0.07,-0.22,0.16
"J17530+169 ",3392,51,5.02,0.07,-0.08,0.16
"J17578+046 ",3278,51,5.1,0.07,-0.12,0.16
"J17578+465 ",3459,51,4.94,0.07,0.0,0.16
"J18051-030 ",3664,51,4.87,0.07,-0.21,0.16
"J18163+015 ",3429,51,5.0,0.07,-0.1,0.16
"J18174+483 ",3515,51,4.96,0.07,-0.18,0.16
J18180+387E,3434,51,4.99,0.07,-0.06,0.16
"J18198-019 ",4133,51,4.66,0.07,-0.08,0.16
"J18221+063 ",3405,51,5.0,0.07,0.0,0.16
"J18224+620 ",3227,51,5.1,0.07,-0.01,0.16
"J18240+016 ",3514,51,4.93,0.07,-0.11,0.16
"J18312+068 ",3804,51,4.71,0.07,0.06,0.16
"J18319+406 ",3423,51,4.99,0.07,-0.05,0.16
"J18346+401 ",3392,51,4.98,0.07,0.09,0.16
"J18353+457 ",3915,51,4.69,0.07,0.05,0.16
"J18363+136 ",3301,51,5.07,0.07,-0.05,0.16
"J18409-133 ",3788,51,4.72,0.07,0.06,0.16
"J18419+318 ",3473,51,4.95,0.07,-0.06,0.16
"J18427+139 ",3254,51,5.11,0.07,-0.11,0.16
"J18480-145 ",3500,51,4.94,0.07,-0.09,0.16
"J18518+165 ",3884,51,4.71,0.07,-0.02,0.16
"J18580+059 ",3913,51,4.68,0.07,0.08,0.16
"J19032+034 ",3473,51,4.95,0.07,-0.07,0.16
"J19070+208 ",3532,51,4.95,0.07,-0.21,0.16
"J19072+208 ",3535,51,4.94,0.07,-0.2,0.16
"J19084+322 ",3439,51,4.97,0.07,-0.04,0.16
"J19098+176 ",3240,51,5.08,0.07,0.06,0.16
J19169+051N,3557,51,4.86,0.07,0.0,0.16
"J19216+208 ",3249,51,5.09,0.07,0.02,0.16
"J19220+070 ",3369,51,5.05,0.07,-0.16,0.16
"J19251+283 ",3405,51,5.0,0.07,0.0,0.16
"J19346+045 ",4054,51,4.69,0.07,-0.2,0.16
"J20011+002 ",3562,51,4.91,0.07,-0.13,0.16
"J20187+158 ",3514,51,4.91,0.07,-0.04,0.16
"J20305+654 ",3475,51,4.96,0.07,-0.08,0.16
"J20336+617 ",3368,51,4.98,0.07,0.14,0.16
"J20405+154 ",3236,51,5.09,0.07,0.03,0.16
"J20407+199 ",3475,51,4.96,0.07,-0.07,0.16
"J20450+444 ",3591,51,4.89,0.07,-0.14,0.16
"J20525-169 ",3313,51,5.06,0.07,-0.01,0.16
"J20533+621 ",3828,51,4.71,0.07,0.03,0.16
J20556-140N,3372,51,5.02,0.07,0.01,0.16
"J20567-104 ",3523,51,4.89,0.07,0.0,0.16
"J21019-063 ",3521,51,4.9,0.07,-0.05,0.16
"J21057+502 ",3543,51,4.83,0.07,0.14,0.16
"J21127-073 ",3471,51,4.96,0.07,-0.07,0.16
"J21152+257 ",3657,51,4.69,0.07,0.28,0.16
"J21164+025 ",3475,51,4.95,0.07,-0.05,0.16
"J21221+229 ",3705,51,4.83,0.07,-0.19,0.16
"J21348+515 ",3484,51,4.92,0.07,0.0,0.16
"J21463+382 ",3304,51,5.06,0.07,-0.01,0.16
"J21466+668 ",3355,51,5.01,0.07,0.05,0.16
"J21466-001 ",3346,51,5.02,0.07,0.05,0.16
"J21472-047 ",3273,51,5.1,0.07,-0.11,0.16
"J21574+081 ",3858,51,4.62,0.07,0.34,0.16
"J22020-194 ",3431,51,4.97,0.07,-0.01,0.16
"J22021+014 ",3914,51,4.69,0.07,0.05,0.16
"J22057+656 ",3653,51,4.85,0.07,-0.15,0.16
"J22096-046 ",3454,51,4.96,0.07,-0.01,0.16
"J22115+184 ",3554,51,4.9,0.07,-0.1,0.16
"J22125+085 ",3500,51,4.92,0.07,-0.04,0.16
"J22231-176 ",3196,51,5.12,0.07,-0.05,0.16
"J22252+594 ",3383,51,5.0,0.07,0.05,0.16
"J22298+414 ",3318,51,5.03,0.07,0.1,0.16
"J22330+093 ",3660,51,4.87,0.07,-0.22,0.16
"J22503-070 ",3895,51,4.73,0.07,-0.1,0.16
"J22532-142 ",3359,51,5.01,0.07,0.06,0.16
"J22559+178 ",3824,51,4.7,0.07,0.07,0.16
"J22565+165 ",3787,51,4.7,0.07,0.1,0.16
"J23113+085 ",3404,51,4.99,0.07,0.01,0.16
"J23175+063 ",3481,51,4.93,0.07,-0.01,0.16
"J23216+172 ",3361,51,4.99,0.07,0.14,0.16
"J23234+155 ",3635,51,4.81,0.07,0.0,0.16
"J23245+578 ",3824,51,4.69,0.07,0.12,0.16
"J23340+001 ",3553,51,4.87,0.07,0.0,0.16
"J23381-162 ",3545,51,4.92,0.07,-0.13,0.16
"J23419+441 ",3144,51,5.13,0.07,0.05,0.16
"J23431+365 ",3247,51,5.1,0.07,-0.05,0.16
"J23492+024 ",3657,51,4.84,0.07,-0.12,0.16
"J23556-061 ",3648,51,4.76,0.07,0.11,0.16
"J23577+233 ",3419,51,4.98,0.07,0.0,0.16
"J23585+076 ",3470,51,4.94,0.07,0.0,0.16
